GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Psylla v0.23.1,coneforest.psylla.runtime,Interpreter.1.new Iterable() {...},0,13,0,0,0,2,0,2,0,2
Psylla v0.23.1,coneforest.psylla.runtime,Globs,102,0,22,0,18,0,13,0,2,0
Psylla v0.23.1,coneforest.psylla.runtime,Stack,0,28,0,0,0,8,0,5,0,5
Psylla v0.23.1,coneforest.psylla.runtime,ContextAction,15,150,0,0,4,35,1,19,1,19
Psylla v0.23.1,coneforest.psylla.runtime,Config,7,20,0,0,3,7,0,3,0,3
Psylla v0.23.1,coneforest.psylla.runtime,Interpreter.new Interpreter() {...},1,24,1,1,1,6,1,2,0,2
Psylla v0.23.1,coneforest.psylla.runtime,Interpreter.new DynamicClassLoader() {...},0,20,0,0,0,4,0,2,0,2
Psylla v0.23.1,coneforest.psylla.runtime,OperandStack,7,129,0,14,2,32,2,16,2,9
Psylla v0.23.1,coneforest.psylla.runtime,Psylla.PsyllaConfig,0,35,0,0,0,18,0,9,0,9
Psylla v0.23.1,coneforest.psylla.runtime,Interpreter.1.1.new Iterator() {...},6,10,0,0,1,2,1,2,1,2
Psylla v0.23.1,coneforest.psylla.runtime,Messages,0,14,0,0,0,4,0,3,0,3
Psylla v0.23.1,coneforest.psylla.runtime,Version,13,29,2,2,3,8,3,5,1,5
Psylla v0.23.1,coneforest.psylla.runtime,TypeResolver,25,0,0,0,5,0,1,0,1,0
Psylla v0.23.1,coneforest.psylla.runtime,Psylla,157,278,11,9,43,52,17,7,7,7
Psylla v0.23.1,coneforest.psylla.runtime,Psylla.new Interpreter() {...},0,12,0,0,0,3,0,2,0,2
Psylla v0.23.1,coneforest.psylla.runtime,Psylla.new Interpreter() {...},8,0,0,0,5,0,2,0,2,0
Psylla v0.23.1,coneforest.psylla.runtime,DynamicClassLoader,138,20,11,1,35,7,8,2,2,2
Psylla v0.23.1,coneforest.psylla.runtime,DictStack,39,106,4,8,8,27,4,11,2,7
Psylla v0.23.1,coneforest.psylla.runtime,ProcStack,0,3,0,0,0,2,0,1,0,1
Psylla v0.23.1,coneforest.psylla.runtime,ExecutionStack,9,83,3,13,2,23,2,14,0,8
Psylla v0.23.1,coneforest.psylla.runtime,Interpreter,461,665,43,47,109,170,45,57,15,36
Psylla v0.23.1,coneforest.psylla.runtime,NamespacePool,0,28,0,2,0,6,0,3,0,2
Psylla v0.23.1,coneforest.psylla.core,PsySystemDict,0,454,0,0,0,39,0,1,0,1
Psylla v0.23.1,coneforest.psylla.core,PsyBitSet.new Iterator() {...},0,37,0,2,0,6,0,4,0,3
Psylla v0.23.1,coneforest.psylla.core,PsyStringWriter,8,4,0,0,2,2,1,1,1,1
Psylla v0.23.1,coneforest.psylla.core,PsyConcurrentModificationException,7,0,0,0,4,0,2,0,2,0
Psylla v0.23.1,coneforest.psylla.core,PsyInvalidStateException,0,3,0,0,0,2,0,1,0,1
Psylla v0.23.1,coneforest.psylla.core,PsyFileAccessDeniedException,7,0,0,0,4,0,2,0,2,0
Psylla v0.23.1,coneforest.psylla.core,PsyExecMark.new PsyExecMark() {...},2,3,0,0,1,1,1,1,1,1
Psylla v0.23.1,coneforest.psylla.core,PsyExecMark.new PsyExecMark() {...},2,3,0,0,1,1,1,1,1,1
Psylla v0.23.1,coneforest.psylla.core,PsyBoolean,0,88,0,22,0,12,0,22,0,11
Psylla v0.23.1,coneforest.psylla.core,PsyFormalSet,120,74,22,8,28,22,18,7,6,4
Psylla v0.23.1,coneforest.psylla.core,PsyFormalDict.new PsyIterable() {...},0,11,0,0,0,2,0,2,0,2
Psylla v0.23.1,coneforest.psylla.core,PsyExecutable,10,70,0,0,2,16,1,7,1,7
Psylla v0.23.1,coneforest.psylla.core,PsyFormalDict.new PsyOperator() {...},0,49,0,2,0,10,0,3,0,2
Psylla v0.23.1,coneforest.psylla.core,PsyClearable,0,4,0,0,0,2,0,1,0,1
Psylla v0.23.1,coneforest.psylla.core,PsyStringWriter.StringBufferWriter,25,0,2,0,8,0,5,0,4,0
Psylla v0.23.1,coneforest.psylla.core,PsyConcatenable,0,4,0,0,0,2,0,1,0,1
Psylla v0.23.1,coneforest.psylla.core,PsyRange.new Iterator() {...},0,54,0,6,0,8,0,6,0,3
Psylla v0.23.1,coneforest.psylla.core,PsyFormalDict.2.new Iterator() {...},6,53,0,8,2,7,0,7,0,3
Psylla v0.23.1,coneforest.psylla.core,PsyWriter,35,18,0,0,15,9,3,3,3,3
Psylla v0.23.1,coneforest.psylla.core,PsyContext.new PsyOperator() {...},0,40,0,2,0,7,0,3,0,2
Psylla v0.23.1,coneforest.psylla.core,PsySecurityErrorException,7,0,0,0,4,0,2,0,2,0
Psylla v0.23.1,coneforest.psylla.core,PsyContext.new PsyOperator() {...},0,17,0,0,0,5,0,2,0,2
